,location,name,on_campus,date,time,female_cashier,group_size,payment_type,tip_type,interaction_time,order_type,waited_in_line
0,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:06PM,n,1,contactless,no-tip,30,dine-in,n
1,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:07PM,n,1,contactless,electronic,40,to-go,n
2,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:08PM,n,1,contactless,no-tip,25,dine-in,n
3,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:09PM,n,1,contactless,no-tip,30,dine-in,n
4,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:10PM,n,1,contactless,no-tip,50,dine-in,n
5,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:11PM,n,1,contactless,no-tip,40,to-go,n
6,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:12PM,y,1,contactless,no-tip,40,to-go,n
7,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:12PM,y,1,contactless,no-tip,20,dine-in,n
8,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:13PM,n,1,card,no-tip,50,dine-in,n
9,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:15PM,n,1,contactless,electronic,30,dine-in,n
10,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:15PM,n,1,contactless,no-tip,20,dine-in,n
11,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:15PM,n,1,contactless,electronic,15,dine-in,n
12,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:18PM,y,1,contactless,no-tip,25,dine-in,n
13,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:19PM,y,2,contactless,no-tip,15,dine-in,n
14,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:19PM,y,1,contactless,no-tip,15,dine-in,n
15,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:20PM,y,1,card,no-tip,20,dine-in,n
16,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:21PM,y,1,contactless,no-tip,25,dine-in,n
17,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:21PM,y,1,contactless,no-tip,20,dine-in,n
18,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:22PM,y,1,contactless,no-tip,25,dine-in,n
19,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:23PM,n,1,contactless,no-tip,30,dine-in,n
20,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:24PM,n,1,card,no-tip,25,dine-in,n
21,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:26PM,n,1,card,no-tip,25,dine-in,n
22,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:27PM,y,2,contactless,no-tip,80,dine-in,n
23,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:28PM,y,2,contactless,no-tip,25,dine-in,n
24,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:28PM,y,1,card,no-tip,20,dine-in,n
25,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:31PM,n,2,card,no-tip,30,dine-in,n
26,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:32PM,n,1,card,no-tip,30,dine-in,n
27,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:33PM,n,1,card,no-tip,15,dine-in,n
28,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:33PM,n,1,contactless,no-tip,40,dine-in,n
29,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:35PM,n,1,contactless,no-tip,20,dine-in,n
30,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:36PM,n,1,contactless,no-tip,25,dine-in,n
31,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:37PM,n,1,contactless,no-tip,25,dine-in,n
32,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:37PM,n,1,contactless,no-tip,15,dine-in,n
33,Fan Fan (Sixth College at UCSD),Alexander Zhou,y,12/4/24,7:38PM,n,1,card,no-tip,20,dine-in,n
